year,temp_c_recon,flower_doy,flower_date
1472,3.5,114,1472-04-23
1474,8,98,1474-04-08
1476,7.4,100,1476-04-09
1477,4.6,110,1477-04-20
1478,3.2,115,1478-04-25
1479,4.6,110,1479-04-20
1480,6.3,104,1480-04-13
1481,5.7,106,1481-04-16
1482,5.2,108,1482-04-18
1483,7.2,101,1483-04-11
1484,8.3,97,1484-04-06
1485,9.3,94,1485-04-04
1486,7.7,99,1486-04-09
1487,9.6,93,1487-04-03
1488,6.6,103,1488-04-12
1489,7.4,100,1489-04-10
1490,8.3,97,1490-04-07
1491,5.4,107,1491-04-17
1492,5.2,108,1492-04-17
1493,7.4,100,1493-04-10
1494,5.7,106,1494-04-16
1495,9.3,94,1495-04-04
1496,8.3,97,1496-04-06
1497,5.2,108,1497-04-18
1498,8.3,97,1498-04-07
1499,4.3,111,1499-04-21
1500,8.3,97,1500-04-07
1501,6.6,103,1501-04-13
1502,3.2,115,1502-04-25
1503,5.2,108,1503-04-18
1504,3.5,114,1504-04-23
1505,5.7,106,1505-04-16
1506,5.7,106,1506-04-16
1507,5.2,108,1507-04-18
1508,4.3,111,1508-04-20
1509,6.9,102,1509-04-12
1510,4.6,110,1510-04-20
1511,4.3,111,1511-04-21
1512,4.9,109,1512-04-18
1513,4.6,110,1513-04-20
1514,6,105,1514-04-15
1515,4.3,111,1515-04-21
1516,6.3,104,1516-04-13
1517,5.7,106,1517-04-16
1518,3.2,115,1518-04-25
1519,4.3,111,1519-04-21
1520,6,105,1520-04-14
1521,5.4,107,1521-04-17
1522,6.6,103,1522-04-13
1523,4.9,109,1523-04-19
1524,4.9,109,1524-04-18
1525,6.3,104,1525-04-14
1526,3.8,113,1526-04-23
1527,6,105,1527-04-15
1528,5.7,106,1528-04-15
1529,5.4,107,1529-04-17
1530,5.4,107,1530-04-17
1531,6.6,103,1531-04-13
1532,5.2,108,1532-04-17
1533,4.3,111,1533-04-21
1534,5.2,108,1534-04-18
1535,8.9,95,1535-04-05
1536,5.2,108,1536-04-17
1537,5.2,108,1537-04-18
1538,4.1,112,1538-04-22
1539,2,120,1539-04-30
1540,1.5,122,1540-05-01
1541,4.9,109,1541-04-19
1542,6.9,102,1542-04-12
1543,2.2,119,1543-04-29
1544,5.4,107,1544-04-16
1545,8.3,97,1545-04-07
1546,4.1,112,1546-04-22
1547,6.3,104,1547-04-14
1548,2.5,118,1548-04-27
1549,2.7,117,1549-04-27
1550,4.3,111,1550-04-21
1551,4.9,109,1551-04-19
1552,6.3,104,1552-04-13
1553,2.2,119,1553-04-29
1555,7.2,101,1555-04-11
1556,2,120,1556-04-29
1557,9.6,93,1557-04-03
1558,4.3,111,1558-04-21
1559,8.6,96,1559-04-06
1560,7.4,100,1560-04-09
1561,6.9,102,1561-04-12
1562,7.7,99,1562-04-09
1563,7.7,99,1563-04-09
1564,4.9,109,1564-04-18
1565,3.5,114,1565-04-24
1566,8.3,97,1566-04-07
1567,5.2,108,1567-04-18
1568,5.7,106,1568-04-15
1570,4.1,112,1570-04-22
1571,5.2,108,1571-04-18
1572,5.4,107,1572-04-16
1574,8,98,1574-04-08
1576,4.9,109,1576-04-18
1577,7.4,100,1577-04-10
1579,6.9,102,1579-04-12
1580,8.3,97,1580-04-06
1581,6,105,1581-04-15
1583,5.2,108,1583-04-18
1584,5.7,106,1584-04-15
1585,6,105,1585-04-15
1586,5.7,106,1586-04-16
1587,6,105,1587-04-15
1588,5.7,106,1588-04-15
1589,6,105,1589-04-15
1590,6.9,102,1590-04-12
1591,9.3,94,1591-04-04
1592,8,98,1592-04-07
1593,3.8,113,1593-04-23
1594,9.6,93,1594-04-03
1595,4.3,111,1595-04-21
1596,6.3,104,1596-04-13
1597,3.5,114,1597-04-24
1598,4.6,110,1598-04-20
1599,6.6,103,1599-04-13
1600,7.2,101,1600-04-10
1601,9.6,93,1601-04-03
1602,5.4,107,1602-04-17
1603,7.7,99,1603-04-09
1604,8.9,95,1604-04-04
1605,6,105,1605-04-15
1606,5.7,106,1606-04-16
1607,4.6,110,1607-04-20
1609,5.2,108,1609-04-18
1610,4.6,110,1610-04-20
1612,11.5,87,1612-03-27
1613,5.7,106,1613-04-16
1614,6.6,103,1614-04-13
1615,4.6,110,1615-04-20
1616,1.5,122,1616-05-01
1617,5.4,107,1617-04-17
1618,6.9,102,1618-04-12
1619,9.6,93,1619-04-03
1621,4.9,109,1621-04-19
1622,5.7,106,1622-04-16
1623,3.8,113,1623-04-23
1624,4.1,112,1624-04-21
1625,8.9,95,1625-04-05
1626,7.4,100,1626-04-10
1628,6.3,104,1628-04-13
1629,4.1,112,1629-04-22
1632,6.3,104,1632-04-13
1633,8,98,1633-04-08
1634,8.6,96,1634-04-06
1635,8.3,97,1635-04-07
1637,6,105,1637-04-15
1638,6,105,1638-04-15
1639,5.2,108,1639-04-18
1640,6.6,103,1640-04-12
1641,2.7,117,1641-04-27
1642,3.5,114,1642-04-24
1643,3.5,114,1643-04-24
1644,6,105,1644-04-14
1645,7.7,99,1645-04-09
1646,11.5,87,1646-03-28
1647,4.1,112,1647-04-22
1649,6.3,104,1649-04-14
1650,6.9,102,1650-04-12
1651,5.4,107,1651-04-17
1652,5.4,107,1652-04-16
1653,4.1,112,1653-04-22
1654,6.3,104,1654-04-14
1655,6.3,104,1655-04-14
1656,6.6,103,1656-04-12
1658,5.2,108,1658-04-18
1660,4.3,111,1660-04-20
1661,9.6,93,1661-04-03
1662,4.6,110,1662-04-20
1663,6,105,1663-04-15
1664,6,105,1664-04-14
1665,4.1,112,1665-04-22
1666,5.2,108,1666-04-18
1667,4.1,112,1667-04-22
1668,4.6,110,1668-04-19
1669,6.3,104,1669-04-14
1670,6.9,102,1670-04-12
1671,3,116,1671-04-26
1672,4.1,112,1672-04-21
1673,6,105,1673-04-15
1674,3.2,115,1674-04-25
1675,4.3,111,1675-04-21
1676,6.6,103,1676-04-12
1677,8.6,96,1677-04-06
1678,4.9,109,1678-04-19
1679,3.5,114,1679-04-24
1680,4.9,109,1680-04-18
1681,4.6,110,1681-04-20
1682,6.3,104,1682-04-14
1683,5.2,108,1683-04-18
1684,2.5,118,1684-04-27
1685,5.7,106,1685-04-16
1686,6.3,104,1686-04-14
1687,6.3,104,1687-04-14
1688,3.5,114,1688-04-23
1689,8.3,97,1689-04-07
1690,9.6,93,1690-04-03
1691,6.6,103,1691-04-13
1692,4.9,109,1692-04-18
1693,5.4,107,1693-04-17
1694,4.9,109,1694-04-19
1695,2,120,1695-04-30
1696,3.5,114,1696-04-23
1697,4.3,111,1697-04-21
1698,7.2,101,1698-04-11
1699,8.3,97,1699-04-07
1700,3,116,1700-04-26
1701,4.1,112,1701-04-22
1702,3,116,1702-04-26
1703,6.6,103,1703-04-13
1704,3.8,113,1704-04-22
1705,4.9,109,1705-04-19
1706,3.2,115,1706-04-25
1707,4.3,111,1707-04-21
1708,6.6,103,1708-04-12
1709,5.7,106,1709-04-16
1713,6.3,104,1713-04-14
1714,5.2,108,1714-04-18
1715,5.4,107,1715-04-17
1716,4.6,110,1716-04-19
1717,8,98,1717-04-08
1718,6.9,102,1718-04-12
1719,6.9,102,1719-04-12
1720,3.5,114,1720-04-23
1721,8.9,95,1721-04-05
1722,7.4,100,1722-04-10
1723,6.3,104,1723-04-14
1724,7.7,99,1724-04-08
1725,5.7,106,1725-04-16
1726,3,116,1726-04-26
1727,4.1,112,1727-04-22
1728,6.3,104,1728-04-13
1729,6,105,1729-04-15
1731,6.3,104,1731-04-14
1732,5.2,108,1732-04-17
1733,5.4,107,1733-04-17
1734,6.9,102,1734-04-12
1735,7.2,101,1735-04-11
1736,5.7,106,1736-04-15
1737,9.6,93,1737-04-03
1738,7.2,101,1738-04-11
1739,4.6,110,1739-04-20
1740,3.2,115,1740-04-24
1741,4.9,109,1741-04-19
1742,4.9,109,1742-04-19
1743,5.2,108,1743-04-18
1744,8,98,1744-04-07
1745,6,105,1745-04-15
1746,4.6,110,1746-04-20
1747,7.2,101,1747-04-11
1748,8.6,96,1748-04-05
1749,7.4,100,1749-04-10
1750,4.6,110,1750-04-20
1751,6.6,103,1751-04-13
1752,4.6,110,1752-04-19
1753,8.6,96,1753-04-06
1754,3.2,115,1754-04-25
1755,2,120,1755-04-30
1756,4.9,109,1756-04-18
1757,4.1,112,1757-04-22
1758,7.2,101,1758-04-11
1759,4.9,109,1759-04-19
1760,6.6,103,1760-04-12
1761,10.8,89,1761-03-30
1762,5.7,106,1762-04-16
1763,4.1,112,1763-04-22
1764,8,98,1764-04-07
1765,5.7,106,1765-04-16
1766,3.8,113,1766-04-23
1767,7.2,101,1767-04-11
1768,2.7,117,1768-04-26
1769,6,105,1769-04-15
1770,6,105,1770-04-15
1771,6.3,104,1771-04-14
1772,5.7,106,1772-04-15
1773,7.4,100,1773-04-10
1774,4.6,110,1774-04-20
1775,7.7,99,1775-04-09
1776,5.2,108,1776-04-17
1777,6.3,104,1777-04-14
1778,4.3,111,1778-04-21
1779,8.6,96,1779-04-06
1780,4.9,109,1780-04-18
1781,10.2,91,1781-04-01
1782,4.9,109,1782-04-19
1783,6.6,103,1783-04-13
1784,6,105,1784-04-14
1785,5.2,108,1785-04-18
1786,5.7,106,1786-04-16
1787,6,105,1787-04-15
1788,4.9,109,1788-04-18
1789,5.7,106,1789-04-16
1790,2.2,119,1790-04-29
1791,7.7,99,1791-04-09
1792,7.2,101,1792-04-10
1793,5.7,106,1793-04-16
1794,6.3,104,1794-04-14
1795,3.8,113,1795-04-23
1796,6.6,103,1796-04-12
1797,8.3,97,1797-04-07
1798,4.6,110,1798-04-20
1799,6.6,103,1799-04-13
1800,6.6,103,1800-04-13
1801,6,105,1801-04-15
1802,8.6,96,1802-04-06
1803,4.6,110,1803-04-20
1804,6.3,104,1804-04-13
1805,9.6,93,1805-04-03
1806,3.5,114,1806-04-24
1807,3,116,1807-04-26
1808,8,98,1808-04-07
1809,5.4,107,1809-04-17
1810,7.4,100,1810-04-10
1811,4.6,110,1811-04-20
1812,2,120,1812-04-29
1813,5.4,107,1813-04-17
1814,3.8,113,1814-04-23
1815,4.3,111,1815-04-21
1816,6.6,103,1816-04-12
1817,4.6,110,1817-04-20
1818,5.7,106,1818-04-16
1819,5.7,106,1819-04-16
1820,8.9,95,1820-04-04
1821,4.9,109,1821-04-19
1822,6.9,102,1822-04-12
1823,5.7,106,1823-04-16
1824,5.2,108,1824-04-17
1825,3.5,114,1825-04-24
1826,4.9,109,1826-04-19
1827,7.4,100,1827-04-10
1828,3.8,113,1828-04-22
1829,4.1,112,1829-04-22
1830,6,105,1830-04-15
1831,3.5,114,1831-04-24
1832,3.8,113,1832-04-22
1833,5.4,107,1833-04-17
1834,4.3,111,1834-04-21
1835,4.1,112,1835-04-22
1836,4.1,112,1836-04-21
1837,4.3,111,1837-04-21
1838,4.9,109,1838-04-19
1839,2,120,1839-04-30
1840,6,105,1840-04-14
1841,5.4,107,1841-04-17
1842,8.6,96,1842-04-06
1843,5.7,106,1843-04-16
1844,5.7,106,1844-04-15
1845,6.9,102,1845-04-12
1846,8,98,1846-04-08
1847,5.4,107,1847-04-17
1848,6.9,102,1848-04-11
1849,7.4,100,1849-04-10
1850,4.9,109,1850-04-19
1851,6.9,102,1851-04-12
1852,3.8,113,1852-04-22
1853,6.9,102,1853-04-12
1854,6.9,102,1854-04-12
1855,7.2,101,1855-04-11
1856,4.3,111,1856-04-20
1857,5.2,108,1857-04-18
1858,6.3,104,1858-04-14
1859,4.6,110,1859-04-20
1860,3.8,113,1860-04-22
1861,7.4,100,1861-04-10
1862,2.7,117,1862-04-27
1863,2.5,118,1863-04-28
1864,6,105,1864-04-14
1865,8.3,97,1865-04-07
1866,6.9,102,1866-04-12
1867,7.2,101,1867-04-11
1868,6.3,104,1868-04-13
1869,6,105,1869-04-15
1870,7.7,99,1870-04-09
1871,6.3,104,1871-04-14
1873,6.3,104,1873-04-14
1874,5.4,107,1874-04-17
1875,6.6,103,1875-04-13
1876,4.3,111,1876-04-20
1877,6.3,104,1877-04-14
1878,7.2,101,1878-04-11
1879,6.9,102,1879-04-12
1880,4.6,110,1880-04-19
1881,4.1,112,1881-04-22
1882,8.3,97,1882-04-07
1883,5.4,107,1883-04-17
1884,4.9,109,1884-04-18
1885,3.8,113,1885-04-23
1886,5.2,108,1886-04-18
1887,4.9,109,1887-04-19
1888,5.4,107,1888-04-16
1889,4.9,109,1889-04-19
1890,8,98,1890-04-08
1891,7.7,99,1891-04-09
1892,3.2,115,1892-04-24
1893,4.9,109,1893-04-19
1894,8,98,1894-04-08
1896,5.7,106,1896-04-15
1897,5.7,106,1897-04-16
1898,5.2,108,1898-04-18
1899,7.7,99,1899-04-09
1900,6.9,102,1900-04-12
1901,6.9,102,1901-04-12
1902,8,98,1902-04-08
1903,7.7,99,1903-04-09
1904,5.2,108,1904-04-17
1905,6,105,1905-04-15
1906,6,105,1906-04-15
1907,6.6,103,1907-04-13
1908,6.9,102,1908-04-11
1909,5.2,108,1909-04-18
1910,6.3,104,1910-04-14
1911,8,98,1911-04-08
1912,6,105,1912-04-14
1913,6.6,103,1913-04-13
1914,6.9,102,1914-04-12
1915,6.9,102,1915-04-12
1916,4.1,112,1916-04-21
1917,6.6,103,1917-04-13
1918,6.3,104,1918-04-14
1920,6.3,104,1920-04-13
1922,7.2,101,1922-04-11
1923,8.3,97,1923-04-07
1924,4.3,111,1924-04-20
1925,5.2,108,1925-04-18
1926,5.2,108,1926-04-18
1927,5.4,107,1927-04-17
1928,5.4,107,1928-04-16
1929,6.6,103,1929-04-13
1930,8.9,95,1930-04-05
1931,6,105,1931-04-15
1932,6,105,1932-04-14
1933,5.7,106,1933-04-16
1934,6.3,104,1934-04-14
1935,6.9,102,1935-04-12
1936,4.3,111,1936-04-20
1937,7.4,100,1937-04-10
1938,8,98,1938-04-08
1939,6.3,104,1939-04-14
1940,4.6,110,1940-04-19
1941,7.4,100,1941-04-10
1942,8.6,96,1942-04-06
1943,7.2,101,1943-04-11
1944,7.4,100,1944-04-09
1946,8.3,97,1946-04-07
